,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
THBS3,9.35E-160,0.690488707,0.805,0.545,2.68E-155,1,THBS3
CSNK1G2,1.54E-159,0.670917214,0.769,0.471,4.41E-155,1,CSNK1G2
ADRM1,1.88E-158,0.567562443,0.944,0.863,5.39E-154,1,ADRM1
RP11-619L12.4,6.11E-158,0.618767576,0.593,0.214,1.75E-153,1,RP11-619L12.4
AC007163.6,7.74E-158,0.520092356,0.526,0.172,2.22E-153,1,AC007163.6
USP2,1.86E-157,0.664201731,0.84,0.628,5.33E-153,1,USP2
FAM81B,2.56E-157,0.701529727,0.937,0.633,7.33E-153,1,FAM81B
KCNIP2-AS1,6.06E-157,0.643905606,0.666,0.309,1.74E-152,1,KCNIP2-AS1
HEMGN,7.85E-157,0.640938568,0.799,0.397,2.25E-152,1,HEMGN
PFN3,9.63E-157,0.647370604,0.819,0.445,2.76E-152,1,PFN3
RP11-109P11.1,1.04E-156,0.508975016,0.483,0.145,2.98E-152,1,RP11-109P11.1
RP11-347C12.3,7.36E-156,0.414532939,0.375,0.081,2.11E-151,1,RP11-347C12.3
ANKRD53,2.98E-153,0.580208352,0.669,0.306,8.53E-149,1,ANKRD53
ASB5,1.06E-152,0.460867074,0.413,0.105,3.04E-148,1,ASB5
TEX38,1.85E-152,0.706040991,0.994,0.757,5.30E-148,1,TEX38
C16orf72,2.36E-152,0.658746581,0.762,0.508,6.77E-148,1,C16orf72
PARD6A,1.22E-151,0.72557107,0.678,0.366,3.50E-147,1,PARD6A
SH3GL3,2.50E-151,0.668082684,0.896,0.626,7.15E-147,1,SH3GL3
FNDC4,1.65E-150,0.644734205,0.803,0.465,4.72E-146,1,FNDC4
RP11-168O16.2,2.86E-150,0.471865351,0.444,0.126,8.18E-146,1,RP11-168O16.2
ETV2,6.50E-150,0.691609218,0.717,0.422,1.86E-145,1,ETV2
ZDHHC19,2.46E-148,0.636214175,0.828,0.459,7.05E-144,1,ZDHHC19
FAM134B,4.76E-148,0.55709416,0.851,0.422,1.36E-143,1,FAM134B
SPANXC,5.80E-147,0.664135706,0.62,0.264,1.66E-142,1,SPANXC
CTD-2330K9.3,7.56E-147,0.46257253,0.461,0.137,2.16E-142,1,CTD-2330K9.3
AC006946.15,5.41E-146,0.486905445,0.49,0.161,1.55E-141,1,AC006946.15
LSMEM2,9.46E-146,0.445468441,0.383,0.092,2.71E-141,1,LSMEM2
DYNLL2,1.22E-145,0.774088559,0.823,0.649,3.50E-141,1,DYNLL2
UBXN6,1.19E-144,0.648316858,0.926,0.831,3.40E-140,1,UBXN6
ESPN,2.75E-144,0.642181252,0.659,0.349,7.87E-140,1,ESPN
ARHGAP26-AS1,8.08E-144,0.492359125,0.461,0.142,2.31E-139,1,ARHGAP26-AS1
C4orf36,9.40E-143,0.551805729,0.584,0.236,2.69E-138,1,C4orf36
RCC1,1.27E-142,0.69607183,0.715,0.442,3.65E-138,1,RCC1
RND2,2.06E-142,0.647187299,0.846,0.644,5.90E-138,1,RND2
CCDC54,4.52E-141,0.670581,0.926,0.639,1.29E-136,1,CCDC54
HSPA1L,7.34E-141,0.563883961,0.644,0.316,2.10E-136,1,HSPA1L
SPANXD,1.35E-139,0.65680543,0.73,0.401,3.87E-135,1,SPANXD
SPATA33,1.38E-139,0.511910736,0.977,0.941,3.95E-135,1,SPATA33
AK1,1.58E-138,0.621213168,0.853,0.609,4.53E-134,1,AK1
CCDC179,2.42E-137,0.811628106,0.726,0.379,6.92E-133,1,CCDC179
MIR193BHG,3.43E-137,0.869991922,0.675,0.351,9.83E-133,1,MIR193BHG
FUZ,1.82E-136,0.542298104,0.967,0.794,5.20E-132,1,FUZ
LSM14B,2.83E-134,0.572959992,0.712,0.391,8.10E-130,1,LSM14B
PRR7-AS1,1.12E-133,0.428274774,0.438,0.131,3.20E-129,1,PRR7-AS1
ZNF706,2.31E-133,0.603544062,0.886,0.727,6.62E-129,1,ZNF706
RP11-109E10.1,2.37E-133,0.639381261,0.792,0.465,6.78E-129,1,RP11-109E10.1
C10orf82,3.19E-133,0.724126003,0.853,0.562,9.12E-129,1,C10orf82
SFXN3,1.49E-132,0.369289626,0.398,0.104,4.25E-128,1,SFXN3
FAM71F1,7.99E-132,0.60153719,0.904,0.574,2.29E-127,1,FAM71F1
LINC00943,2.24E-130,0.608131661,0.877,0.564,6.43E-126,1,LINC00943
PGP,1.52E-129,0.497969669,0.948,0.871,4.35E-125,1,PGP
RP11-770E5.3,1.56E-129,0.41638499,0.41,0.121,4.47E-125,1,RP11-770E5.3
RAD23B,5.82E-129,0.590387995,0.852,0.695,1.67E-124,1,RAD23B
COL9A3,6.70E-129,0.480146844,0.531,0.202,1.92E-124,1,COL9A3
EIF5A2,2.54E-128,0.853626884,0.8,0.684,7.26E-124,1,EIF5A2
SLC10A6,2.69E-128,0.403176364,0.408,0.122,7.71E-124,1,SLC10A6
SOCS7,5.74E-127,0.614558344,0.797,0.668,1.64E-122,1,SOCS7
RP11-156L14.1,8.17E-127,0.431933858,0.428,0.134,2.34E-122,1,RP11-156L14.1
SPPL2C,2.27E-126,0.458474338,0.54,0.202,6.49E-122,1,SPPL2C
DGCR6L,9.72E-126,0.596503191,0.92,0.886,2.78E-121,1,DGCR6L
C10orf53,1.99E-125,0.514340977,0.966,0.743,5.69E-121,1,C10orf53
IRGC,1.70E-124,0.619478681,0.911,0.625,4.87E-120,1,IRGC
RP11-881M11.1,2.95E-123,0.569226427,0.555,0.251,8.45E-119,1,RP11-881M11.1
CTD-2015G9.1,1.01E-122,0.576788354,0.771,0.462,2.90E-118,1,CTD-2015G9.1
ARHGAP35,6.10E-122,0.634828045,0.699,0.491,1.75E-117,1,ARHGAP35
HDAC11,7.77E-122,0.556513791,0.798,0.531,2.22E-117,1,HDAC11
C12orf50,1.27E-121,0.573115253,0.914,0.627,3.64E-117,1,C12orf50
CTC-498M16.2,1.88E-121,0.349072781,0.333,0.081,5.39E-117,1,CTC-498M16.2
BOD1L2,3.69E-121,0.569640109,0.999,0.92,1.06E-116,1,BOD1L2
TMEM215,7.18E-120,0.473902525,0.485,0.176,2.05E-115,1,TMEM215
VWA3B,1.92E-119,0.591542399,0.792,0.523,5.49E-115,1,VWA3B
MOGS,7.51E-119,0.507586923,0.523,0.22,2.15E-114,1,MOGS
RP11-402G3.3,1.34E-118,0.588971064,0.745,0.452,3.83E-114,1,RP11-402G3.3
RP11-215E13.1,3.60E-118,0.568736956,0.608,0.306,1.03E-113,1,RP11-215E13.1
C7orf31,3.73E-118,0.534668175,0.811,0.633,1.07E-113,1,C7orf31
